name,total,lat,lng
달성예비군훈련장앞,166,35.77193,128.41679
달성우체국건너,350,35.69388,128.43917
달성우체국앞,1967,35.69436,128.43936
달성중학교건너,3312,35.8012,128.49334
달성중학교앞,2766,35.80111,128.49359
달성초등학교건너,143,35.88178,128.57898
달성초등학교앞,134,35.88206,128.5785
달성취수장앞,1937,35.73327,128.42547
달성화성파크드림앞,334,35.65501,128.4173
달천리(시내방향),40,35.88738,128.48224
달천리(시외방향),3,35.88746,128.48229
담안마을2,6,35.74771,128.6519
담티고개1,146,35.85089,128.66491
담티고개2,419,35.85101,128.66535
당동마을건너,21,35.95502,128.70393
대1리용흥지건너,36,35.6666,128.43212
대건고교-효성여고1,1048,35.83613,128.53078
대건고교-효성여고2,1069,35.83601,128.53063
대곡강산타운,7366,35.8051,128.5355
대곡강산타운건너,4784,35.80515,128.53532
대곡고등학교건너,844,35.80411,128.53701
대곡공원건너,496,35.80687,128.5284
대곡사계절타운건너,3997,35.80659,128.53809
대곡사계절타운앞,2376,35.80674,128.53836
대곡역(1번출구),8958,35.80894,128.51114
대곡역(2번출구),4723,35.80887,128.51125
대곡역(한라하우젠트건너),55550,35.80865,128.51273
대곡역(한라하우젠트앞),3708,35.80893,128.51269
대곡역그린빌,1705,35.80451,128.51083
대곡주공1단지앞,1398,35.80654,128.54068
대곡주공2단지앞,3441,35.8063,128.54041
대곡주공5단지건너,282,35.80989,128.53231
대곡주공5단지앞,245,35.80951,128.53144
대곡주공6단지앞,1281,35.80447,128.53356
대곡주공7단지앞,3365,35.80433,128.53368
대곡주공8단지건너,1778,35.80731,128.5305
대곡주공8단지앞,4236,35.80769,128.52926
대곡중학교앞,198,35.80701,128.53327
대공원역(1번출구),5235,35.84277,128.68043
대공원역(5번출구),7430,35.84212,128.68145
대구가톨릭대학병원건너,10782,35.84451,128.56938
대구가톨릭대학병원앞,9760,35.84455,128.56913
대구경북과학기술원,6,nan,nan
대구경북과학기술원기숙사,14,nan,nan
대구경북지방병무청,451,35.87707,128.73519
대구고등학교건너,12385,35.84669,128.59053
대구고등학교앞,6352,35.8473,128.5904
대구고용노동청건너,3472,35.85033,128.62527
대구고용노동청앞,1294,35.84912,128.62469
대구공업대학1,4353,35.83715,128.54557
대구공업대학2,2132,35.83736,128.54586
대구공업대학건너,2947,35.83632,128.54477
대구공업대학앞,4090,35.83603,128.54462
대구과학고등학교건너,5212,35.84429,128.62429
대구과학고등학교앞,4321,35.84456,128.62484
대구과학대학1,11966,nan,nan
대구과학대학2,21633,nan,nan
대구과학대학건너,2086,nan,nan
대구과학대학앞,1350,nan,nan
대구광역시교육연수원건너,4551,35.8471,128.54533
대구광역시교육연수원앞,2616,35.8472,128.54513
대구광역시청건너,1400,35.87202,128.60082
대구광역시청앞,1793,35.87221,128.60097
대구교도소건너,4086,35.80513,128.50237
대구교도소앞,3139,35.80505,128.50311
대구교육대건너,3455,35.85064,128.59075
대구교육대앞,10121,35.85173,128.59047
대구교통방송건너,3089,35.84178,128.57994
대구교통방송앞,6806,35.84208,128.58
대구국제공항건너,19297,35.89889,128.6366
대구국제공항앞,16063,35.89921,128.63653
대구국제공항여객청사,1268,35.89983,128.63731
대구농업마이스터고건너,7939,35.84158,128.70262
대구농업마이스터고앞,6066,35.84128,128.70234
대구농업마이스터고후문건너,1691,35.83085,128.70182
대구농업마이스터고후문앞,596,35.83121,128.70185
대구도시공사앞,6970,35.88376,128.58806
대구동부고용복지플러스센터,5974,35.88164,128.61713
대구동촌유치원,178,35.88485,128.65288
대구맨션건너,1816,35.85981,128.60094
대구맨션앞,1428,35.86011,128.60083
대구문화방송건너,6208,35.86554,128.62657
대구문화방송앞,5466,35.86522,128.62719
대구물류터미널건너,300,35.83665,128.51878
대구물류터미널앞,486,35.83646,128.51965
대구미술관건너,82,35.82965,128.67423
대구미술관앞,85,35.82936,128.67457
대구병원건너,7661,35.91288,128.54836
대구병원앞,4419,35.91281,128.54861
